national_number	description
404	A larger, quadrupedal, lion-like creature with blue and black fur. It has a sharp, spiky mane of black fur covering the front of its body, yellow eyes, and a powerful, lean build.
405	A large, majestic, quadrupedal lion with a massive, star-shaped, black mane. Its sleek, black-and-blue body is built for power and speed. Its eyes glow with a piercing, x-ray-like vision.
406	A small, bipedal, plant-like creature. It is a green bud with short, stubby legs and closed eyes. A single, closed rosebud sits on top of its head.
407	A graceful, bipedal, humanoid plant creature with a masquerade-ball theme. Its arms are bouquets of beautiful red and blue roses, and it wears a green, leaf-like cape and mask.
408	A small, bipedal, dinosaur-like creature resurrected from a fossil. It has a gray, reptilian body, and its most prominent feature is a very hard, blue, dome-shaped skull which it uses for headbutting.
409	A massive, bipedal, pachycephalosaurus-like dinosaur with a powerful, stocky build. It has a huge, blue, dome-shaped skull, with smaller spikes around the dome. Its body is dark gray and blue.
410	A small, quadrupedal, ceratopsian dinosaur resurrected from a fossil. Its face is protected by a wide, flat, shield-like plate of bone, with several spikes protruding from the edge. Its body is small and brown.
411	A massive, quadrupedal, ceratopsian dinosaur with an impenetrable defense. Its head is a colossal, square-shaped, fortress-like shield, with sharp horns and a thick, armored body.
412	A small, insect larva that creates a cloak for itself out of surrounding materials. It can have a green Plant Cloak, a sandy Ground Cloak, or a pink-and-white Trash Cloak, with only its black, conical head visible.
413	A bipedal, female, moth-like insectoid. Its appearance depends on its larval cloak: Plant Cloak form has leafy wings, Sandy Cloak has brown, tattered wings, and Trash Cloak has pink, patchwork wings.
414	A small, male, gnat-like insectoid with a gray body. It has two large, compound eyes, a pair of simple, transparent wings, and long, forked antennae.
415	A living honeycomb structure composed of multiple hexagonal cells. Each cell contains a small, larval, bee-like face with a single antenna. The lower central cell contains a larger, female larva.
416	A large, female, bee-like insectoid with a regal appearance. Her lower body is a massive, orange-and-black, honey-filled abdomen that acts as a flying hive. She has a small, red gem on her forehead.
417	A small, white, squirrel-like rodent with a long, fluffy tail that splits into two large prongs. It has a yellow stripe down its back and two yellow cheek pouches.
418	A sleek, quadrupedal, weasel-like creature with a brown body. It has a bright yellow, inflatable, inner-tube-like flotation sac around its neck. It has two long, fin-like tails that can spin like a propeller.
419	A larger, more powerful, bipedal weasel-like creature with a tan-and-brown body. The flotation sac around its neck is now a large, well-developed collar, and it has a powerful, muscular build.
420	A small, bipedal creature resembling a cherry. It has a round, deep-pink body with a second, smaller, underdeveloped head attached by a short, green stem.
421	A cheerful, plant-like creature. In its Overcast Form, it is a closed, purple flower bud. In its Sunshine Form, it blooms into a vibrant, pink, bipedal creature with two round, cherry-like heads.
422	A small, amorphous, sea-slug-like creature. It has a soft, slimy body. Its appearance varies by location: West Sea form is pink and white with two small, fin-like appendages on its back.
423	A larger, slug-like creature with a soft, gelatinous body. The West Sea form is pink and brown, with a frilly mantle and three small horns on its head.
424	A purple, monkey-like creature with two long tails, each ending in a large, hand-like appendage with an eye on it. It has a large tuft of purple hair that splits its face in two.
425	A spherical, balloon-like creature made of a thin, purple membrane. It has two long, string-like arms with yellow, heart-shaped tips. A small, white, cloud-like puff of fur sits on its head.
426	A large, hot-air-balloon-like creature with a purple, spherical body and a cross-shaped, yellow marking on its face. Its arms are long and wavy, and its "mouth" is a small, sealed opening at its base.
427	A small, bipedal, rabbit-like creature with brown fur. Its most notable feature is its long, fluffy, cream-colored ears, which are rolled up like pigtails. It has a small, puffy tail.
428	A tall, slender, bipedal rabbit with a sophisticated and fashionable appearance. It has long, brown legs, a white, fluffy vest, and long, flowing ears with fluffy tips.
429	A ghost-like creature with a witch-like appearance. It has a wide-brimmed, purple, hat-like head with flowing, purple, hair-like extensions. It has glowing, yellow eyes and a flowing, ragged body.
430	A large, avian creature with a dark, mafioso-like appearance. It has a black body, a white, feathered chest, and a large, wide-brimmed, fedora-like crest of black feathers on its head.
431	A gray, feline creature with a haughty and spoiled demeanor. It has a distinctive, forked tail and a coiled, spring-like tuft of fur around its neck. Its ears are partially closed.
432	A large, sleek, purple feline with a disdainful expression. It has a massive, boa-like tail that is wrapped around its torso. Its body is plump and its whiskers are long.
433	A small, blue, bell-like creature with a hollow body. It has a single, clapper-like appendage inside and a long, ribbon-like tail. Its eyes are simple and round, and it has a suction-cup-like appendage on its head.
434	A small, quadrupedal, skunk-like creature with purple fur. It has a single, cream-colored stripe running from its head down its large, bushy tail, which it holds over its head.
435	A large, quadrupedal, skunk-like creature with a powerful, intimidating stance. Its large, striped tail is now split in two and can be used to spray a foul-smelling liquid over long distances.
436	A levitating, circular, bronze-colored object resembling an ancient mirror or bell. It has a simple, carved face and two red, eye-like knobs on its sides.
437	A massive, floating, ancient bell of a dark teal color with intricate, golden patterns. It has two large, arm-like appendages and a deep, resonant voice.
438	A small, brown, rock-like creature that resembles a bonsai tree. It has three green, spherical growths on its head, and it often has a stream of tears flowing from its eyes.
439	It has a red, mime-like nose and ball-shaped hands. It has two long, antenna-like growths on its head, each ending in a blue sphere.
440	A small, pink, egg-shaped "baby" creature. It has a single, curled pigtail on its head, and wears a smooth, round, white stone in its belly pouch, resembling an egg.
441	A small, brightly-colored, parrot-like bird. Its body is a mix of green, blue, yellow, and black feathers, and its head is shaped like a black, eighth musical note.
442	A creature formed from 108 spirits bound to a fissure in a stone. Its physical form is a swirling vortex of purple ectoplasm emerging from a small, gray, keystone-like rock with a single carved face.
443	A small, quadrupedal, land-shark-like dragon. It has a blue body, a red underbelly, and a large fin on its back. Its head is large with two horn-like appendages that resemble jet engines.
444	A bipedal, draconic creature with a powerful build. It has a dark blue body, a red belly, and sharp, scythe-like claws on its arms. Its fins have become more rigid and wing-like.
445	A large, bipedal, draconic creature with a sleek, aerodynamic body resembling a fighter jet. It has large, wing-like fins on its arms, a hammer-shaped head, and a powerful, shark-like tail fin.
446	A small, bipedal, chubby "baby" creature. It has dark blue fur, a cream-colored belly marking, and its eyes are almost always closed in a happy expression. It is known for its voracious appetite.
447	A small, bipedal, canine-like creature with blue and black fur. It stands on its toes and has three appendages on the back of its head that it uses to sense auras. It has red eyes.
448	A tall, bipedal, canine-like creature with a sleek, blue-and-black body. It has a spike protruding from its chest and one from the back of each hand. It has a noble and heroic appearance.
449	A small, quadrupedal, hippopotamus-like creature. It has a light brown body with a darker brown, camouflage-like pattern on its back. It expels sand from the nostrils on its back.
450	A massive, quadrupedal hippopotamus with a dark gray, almost black, body and a sandy-brown jaw. Its back is covered in several large pores that constantly pour out sand.
451	A small, purple, scorpion-like creature with a segmented body. It has two large, blue-and-red pincers and a tail that is split into two sharp stingers. Its claws are connected directly to its head.
452	A large, intimidating, purple scorpion with a powerful, upright stance. Its claws are massive, with red and black markings, and its tail ends in a formidable, three-parted stinger.
453	A small, bipedal, frog-like creature with a slim, blue body and dark gray stripes. It has a cocky expression and large, red-orange poison sacs on its cheeks and on the first finger of each hand.
454	A tall, slender, bipedal, poison-dart-frog-like creature. It has a lean, athletic build, a large, inflatable, red throat sac, and three long, sharp, retractable, poisonous claws on each hand.
455	A large, bipedal, venus-flytrap-like plant creature. Its head is a massive, green-and-red, jawed trap with sharp teeth. It has two large, leaf-like arms and a stocky, green body.
456	A small, fish-like creature with a dark blue body. Its most prominent feature is a large, wing-like, butterfly-shaped tail fin that is light blue with pink spots. It has a long, glowing antenna on its head.
457	A large, beautiful fish with enormous, butterfly-like fins. Its body is dark blue, while its fins are a shimmering light blue with pink, eye-like markings. It has two long, ribbon-like antennae.
458	A small, aquatic creature resembling a baby manta ray. It has a blue, disc-shaped body, a cheerful expression with two large eyes, and two long, antenna-like fins. A smily-face pattern is on its back.
459	A small, bipedal, yeti-like creature. It is covered in shaggy, white fur, with a brown face and brown, stubby feet. It resembles a snow-covered pine tree.
460	A massive, bipedal, yeti-like creature covered in long, shaggy white fur. It has a powerful build, large hands, and green, crystalline spikes on its back. Its face is obscured by fur, with only its glowing blue eyes visible.
461	A slender, bipedal, weasel-like creature with a cunning and malicious look. It has dark gray fur, a large, red, fan-like crest on its head, and another on its tail. It has extremely long, sharp, white claws.
462	The final evolution of Magnemite, it's a large, heavy, saucer-shaped, metallic creature. It has a single, glowing red eye, two arms ending in powerful magnets, and a third magnet on its head with a yellow antenna.
463	A massive, bipedal, pink creature with a round, portly body. Its tongue is incredibly long and can be rolled up. It has a Wi-Fi-like symbol on its yellow-bibbed belly.
464	A massive, bipedal, rhinoceros-like monster with a bulky, brownish-orange, armored body. It has a large, powerful drill horn on its snout and wears protective, plate-like armor. It can shoot rocks from holes in its hands.
465	A huge, bulky creature composed of a tangled mass of thick, blue vines. It has long, vine-like arms with distinct, red-and-blue-tipped fingers. Its large, round, yellow eyes are the only visible feature of its face.
466	A large, bulky, ape-like creature covered in shaggy, yellow fur with black stripes. It has a powerful build, and its back has two long, black, pronged tails that it uses to deliver powerful electric shocks.
467	A large, stocky, fiery creature with a clown-like appearance. Its body is red and yellow, and its head has a flame-like crest. It has a massive, cannon-like arm that it uses to launch fireballs.
468	A graceful, white, bipedal, jet-plane-like fairy. It has a stout body, large, triangular wings on its back, and a serene, gentle expression. It has three horn-like crests on its head.
469	A huge, prehistoric, dragonfly-like insectoid with a massive, green body. It has six thin legs, two pairs of powerful wings, and large, red, compound eyes. A pair of sharp pincers are on its jaw.
470	A quadrupedal, mammalian creature with a feline appearance. Its body looks like it is covered in green, sprouting leaves. Its ears and tail are shaped like large, tattered leaves.
471	A quadrupedal, mammalian creature with a sleek, crystalline appearance. Its body is light blue and appears to be covered in sharp, ice-like shards. Its long, pointed ears and tail are frozen solid.
472	A large, purple, bat-scorpion hybrid. It has a more menacing appearance with larger, sharper pincers and a more prominent stinger. It has large, yellow, vampire-like eyes.
473	A colossal, quadrupedal creature resembling a woolly mammoth. It has a thick, brown, shaggy coat, two huge, curved, icy tusks, and a small, blue, mask-like pattern on its face.
474	A digital creature with a glitchy, erratic appearance. Its body is a distorted, saucer-like shape, with a detached, floating head and disjointed limbs. It appears unstable and unpredictable.
475	A slender, graceful, humanoid creature with a gladiator-like appearance. It has a white body, a green, helmet-like head with a red, crescent-shaped crest, and large, blade-like extrusions on its elbows.
476	A large, stone-like head with a massive, red, magnetic nose. It has a bushy, gray, mustache made of iron filings, and three smaller, "mini-nose" satellite units that float around it.
477	A massive, ghostly creature with a bulky, gray, stone-like body. It has long, striped arms, and a single, red, cyclopean eye. A large, cracked, yellow band circles its body, which it can open and close.
478	A ghostly, feminine figure with a beautiful but chilling appearance. It is a hollow, kimono-wearing ghost with a large, gaping mouth. Its arms are part of its sleeves, and it has a large, purple sash (obi) around its waist.
479	A small, plasma-based, electrical creature with a lightning-bolt-shaped aura. It can possess various household appliances, giving them a ghostly face and unique abilities: a microwave, a washing machine, a refrigerator, a fan, and a lawnmower.
480	A small, pixie-like, legendary creature with a pink body and two long, flowing, pink tails. It has a mostly blue head with a red gem embedded in its forehead.
481	A small, pixie-like, legendary creature with a cyan body and two long, flowing, cyan tails. It has a mostly yellow head with a red gem embedded in its forehead.
482	A small, pixie-like, legendary creature with a yellow body and two long, flowing, yellow tails. It has a mostly pink head with a red gem embedded in its forehead.
483	A large, quadrupedal, draconic legendary creature covered in metallic, blue-and-silver armor. A large, diamond-shaped gem is embedded in its chest. It has a powerful, majestic crest on its head.
484	A large, bipedal, draconic legendary creature with a white-and-gray body. It has massive, purple-and-pink, wing-like structures on its shoulders, adorned with large, perfect pearls.
485	A legendary creature with a body of molten steel. It is a quadrupedal, tortoise-like being with a gray, metallic shell and orange, magma-filled cracks. It has powerful, clawed feet and can walk on walls and ceilings.
486	A colossal, humanoid golem with a powerful, almost god-like appearance. It is white with a large, golden, cross-like structure on its torso. It has gray shoulders, and its face is a screen of seven black dots. It is often depicted moving continents.
487	A massive, shadowy, serpentine dragon of immense power. In its Altered Forme, it has six powerful, ghostly legs and two large, black, tattered wings. In its Origin Forme, it is a floating, serpent-like being with multiple shadow tendrils.
488	A beautiful, swan-like, lunar legendary creature. It has a graceful, serpentine body, small, pink, wing-like appendages on its back, and a crescent-moon-shaped head crest. It has glowing, red rings on its body.
489	A small, blue, aquatic, legendary "baby" creature. It has a large, spherical head with a red gem inside, and two long, blue antennae. Its body is gelatinous and it has a small, stubby tail.
490	A graceful, pixie-like, aquatic legendary creature. It has a blue, gelatinous body, a large head with a red gem inside, and two very long antennae. It is considered the prince of the sea.
491	A sleek, shadowy, ghost-like legendary creature. It has a thin, black body, long, white, flowing hair, and long, spindly legs. It has a red, spiky collar around its neck and piercing, blue eyes. It appears to be floating.
492	A small, white, hedgehog-like mythical creature. In its Land Forme, it has green, grass-like fur on its back and a pink flower on each side of its head. In its Sky Forme, it becomes a sleek, canine-like creature with a confident look and a red, scarf-like petal.
493	A majestic, equine-like, legendary creature with a pure white body. It has a long, golden mane, golden hooves, and a large, golden, cross-like wheel attached to its abdomen. Its face is gray with green eyes.
494	A small, psychic, mythical creature with a green, tufted crest on its head that resembles a "V". It has large, blue eyes, pointed, elf-like ears, and two small wings on its back.
495	A small, serpentine, grass snake with a smug expression. It has a pale green body with a dark green back. A large, lily-like leaf is at the end of its tail.
496	A sleek, serpentine creature with a regal and aloof posture. It has a green body, a high, upturned collar of leaves, and small, curled appendages that look like hands.
497	A majestic, colossal, serpentine creature with a long, green-and-white body. It has an elegant, regal head with a large, ornate crest. Its body is coiled gracefully, and it has two large, leaf-like appendages on its back.
498	A small, quadrupedal, fire pig with a round, orange body and black markings. It has a spherical, red nose and a black, coiled tail with a red orb at the tip.
499	A bipedal, pig-like creature with a stocky, wrestler-like build. It has a powerful, orange-and-black body with golden, ornate patterns on its chest.
500	A massive, bipedal, boar-like creature with a thick, powerful build. It is adorned with intricate, flame-like patterns on its body, and a massive, thick beard made of black, solidified fire.
501	A small, quadrupedal, sea otter-like creature with a light blue body. It has a white, round head with small, dark ears, and a prominent, shell-like, beige "scalchop" on its belly.
502	A bipedal, sea otter with a more mature, samurai-in-training appearance. It has a blue body, a helmet-like growth on its head, and carries its beige "scalchop" on its hip like a sword.
503	A large, quadrupedal, sea lion-like creature with a noble, samurai-like presence. It has a blue-and-white body, a large, horned, helmet-like shell on its head, and wields two large, sharp "seamitars" made from the shells on its forelegs.
504	A small, quadrupedal, rodent-like creature with brown fur, resembling a chipmunk. It has large, red eyes, a cream-colored underbelly, and a puffy, cream-tipped tail.
505	A large, bipedal, meerkat-like creature with a stern, sentinel-like posture. It has a long, slender body with brown fur, and its fur has yellow and red, stripe-like markings. Its eyes glow red when it is alert.
506	A small, quadrupedal, puppy-like creature with tan-and-brown fur. It has large, floppy ears, a blue-gray scruff of fur covering its face, and a short, stubby tail.
507	A quadrupedal, terrier-like dog with a refined, well-groomed appearance. It is covered in a large, heavy coat of long, shaggy, dark gray fur, with only its small head and paws visible.
508	A large, majestic, quadrupedal dog resembling a stoutland. It has a very long, thick, mustache-like and eyebrow-like coat of dark gray fur, giving it a wise and noble appearance.
509	A small, slender, feline creature with purple fur. It has a devious, cunning expression, large green eyes with slit pupils, and two sharp, sickle-like tufts of fur on its tail.
510	A sleek, bipedal, feline creature with a slender, purple-and-tan body. It has a cruel and arrogant expression, sharp claws, and two long, blade-like tails.
511	A small, monkey-like creature with a green body, resembling broccoli. It has a large, leafy, broccoli-floret-like tuft of fur on its head and a leaf-tipped tail.
512	A larger, bipedal, monkey-like creature with a punk-rock aesthetic. It has a large, Elvis-like pompadour made of green, leafy fur, a cream-colored body, and a prickly, mace-like tail.
513	A small, monkey-like creature with a red body. It has a flame-shaped tuft of fur on its head and a simple, red-tipped tail.
514	A larger, bipedal, fire-monkey creature with a rebellious look. It has a large, fiery crest on its head, a powerful build, and embers smoldering on its shoulders and tail.
515	A small, monkey-like creature with a blue body. It has a fountain-like sprout of fur on its head from which it can spray water.
516	A larger, bipedal, water-monkey creature with a relaxed, dreadlocked appearance. Its head is covered in long, blue, water-filled dreadlocks that it can use as powerful water cannons.
517	A small, round, pink, tapir-like creature with a floral pattern on its body. It has a short, trunk-like snout and closed eyes, giving it a perpetually sleepy look.
518	A larger, floating, tapir-like creature. It has a plump, purple-and-pink body, a long, trunk-like snout, and a cloud of pink, dream-mist flowing from a port on its forehead.
519	A small, avian creature resembling a common pigeon. It has gray plumage, a dark crest on its head, and a black-and-pink pattern around its eyes.
520	A proud, pigeon-like bird with a more developed, swept-back crest. It has a heart-shaped, pink marking on its chest and a confident, determined expression.
521	A large, pheasant-like bird. The male is majestic with a large, colorful wattle and long tail feathers. The female is more subdued with brown plumage. Both have a confident, almost arrogant look.
522	A small, quadrupedal, zebra-like creature with a very angular, stylized body. It has black-and-white stripes and a white, spiky mane that stands on end when it discharges electricity.
523	A large, powerful, zebra with a sleek, black-and-white striped body. Its mane is a jagged, lightning-bolt-like crest of white, electrified hair. It is built for incredible speed.
524	A small, quadrupedal creature whose body is a chunk of dark, hexagonal rock. It has a single, large, yellow, hexagonal crystal for an ear/eye, and stands on two stout, rock-like legs.
525	A large, bipedal creature made of crystalline blue rock. It stands on two powerful, pillar-like legs and has a large, single, orange crystal protruding from the top of its body.
526	A colossal, bipedal golem made of jagged, blue rock. It has several large, sharp, orange-red energy crystals protruding from its body, especially its arms and head. It glows with immense power.
527	A small, fluffy, bat-like creature. Its body is a single, round puff of blue-gray fur with a single, large, pig-like nose in the center, which also functions as its mouth and ears. It has a heart-shaped nose print.
528	A more elegant, bat-like creature with a graceful, humanoid body. It has a large, fur ruff around its neck, large, wing-like ears, and a heart-shaped snout. Its tail is forked.
529	A small, mole-like creature with a blue-and-gray body. It has large, sharp, three-pronged, metallic claws on its hands and a single, drill-like claw on its head.
530	A large, bipedal, mole-like creature covered in sharp, metallic armor plates. Its head is a massive, powerful drill, and its hands have become large, formidable, steel-bladed drills.
531	A bipedal, pink-and-cream-colored creature with a gentle, nurse-like appearance. It has large, floppy ears with long, curled, feeler-like appendages.
532	A small, stout, grayish-pink, humanoid creature. It has a very muscular upper body, a bulbous red nose, and is always seen carrying a heavy, wooden log.
533	A larger, more muscular, humanoid creature with a powerful build. It has bulging veins, a clown-like red nose, and now carries a massive, steel I-beam as a weapon.
534	A massive, incredibly muscular, humanoid creature with a monstrous, powerful physique. It has a rugged, gray skin, a grotesque face with a red nose, and wields two huge, concrete pillars as weapons.
535	A small, tadpole-like creature with a spherical, blue body. It has a fin-like tail and two large, prominent, round bumps on the sides of its head, which it vibrates to create sound waves.
536	A bipedal, toad-like creature with a blue body. The bumps on its head have become larger and more defined, resembling headphones. It has a stocky build and a warty texture.
537	A massive, bipedal, toad-like monster with a bulky, powerful frame. Its body is covered in large, warty, blue-and-red lumps that function as powerful speakers and vibrators.
538	A short, stocky, humanoid creature resembling a judo practitioner. It has red, rock-like skin, a powerful build, and wears a white-and-black judogi. Its eyebrows are thick and black.
539	A slender, agile, humanoid creature resembling a karate practitioner. It has blue, rock-like skin and wears a tattered, white-and-black karategi. It has a focused, sharp expression.
540	A small, insect larva with a caterpillar-like body. It is wrapped in a cloak made of a single, large, green leaf, with only its head, which has two leaf-like antennae, visible.
541	A pupa-like creature completely encased in a tight wrapping of green leaves, resembling a sleeping bag. Only its two, large, yellow eyes are visible from a small opening.
542	A large, bipedal, praying-mantis-like insectoid with a leafy, plant-like body. It has two massive, sharp, leaf-like scythes for arms and a collar of leaves around its neck.
543	A small, centipede-like insectoid with a purplish-pink, segmented body. It has two large, yellow antennae and a pair of sharp mandibles. It stands on four small legs.
544	A creature encased in a hard, gray, tire-like shell. It is a curled-up, centipede-like being that can spin at high speeds for defense and attack. Red eyes glow from within the shell.
545	A massive, horse-sized, centipede-like insectoid with a formidable, armored, purple-and-red body. It has large, curved horns on its head and tail, and a powerful, intimidating presence.
546	A small, floating, cotton-ball-like creature. It has a brown, star-shaped "face" with orange eyes, and two small, green leaves on its back.
547	A mischievous, sheep-like creature whose body is a massive, fluffy ball of cotton. It has a brown, horned head peeking out from the cotton, and is known for its playful, pranking nature.
548	A small, plant-like creature with a green, bulb-shaped body. A single, large, green leaf grows from its head. It has a simple, doll-like face with large, brown eyes.
549	A beautiful, humanoid, plant-like creature with a regal appearance. It wears a dress made of green leaves, and its "hair" is a massive, ornate, red-and-yellow, crown-like flower.
550	A ferocious, piranha-like fish. The Red-Striped form has a black body with a red stripe and red, aggressive eyes. The Blue-Striped form has a blue stripe and a slightly different fin shape.
551	A small, quadrupedal, crocodilian creature with a tan body and black stripes. It has large, bulging eyes with black, goggle-like markings around them, and a powerful jaw.
552	A larger, more robust, quadrupedal crocodilian. It has a powerful build, a dark, reddish-brown body with black, diamond-shaped markings, and a menacing, punk-rock-like crest of scales on its snout.
553	A massive, bipedal, crocodilian monster with a dark, reddish-brown and black body. It has a very powerful, intimidating build, a long, sharp snout, and dark, sunglass-like membranes over its eyes.
554	A small, round, fiery creature with a daruma-doll-like appearance. It has an orange-red body, yellow, flame-like eyebrows, and a perpetually energetic and smiling expression.
555	A large, ape-like, daruma-like creature. Its Standard Mode is a fiery, red-and-orange beast with massive arms and a crown of fire. Its Zen Mode is a dormant, blue, stone-like statue.
556	A bipedal, cactus-like creature with a cheerful, maraca-playing appearance. It has a green, bumpy body, yellow, spiky growths on its arms and head resembling flowers, and a wide, toothy grin.
557	A small, hermit-crab-like creature with an orange body. It lives inside a heavy, perfectly cubical, layered chunk of rock that it carries on its back.
558	A large, bipedal, crustacean-like creature. Its body is long and yellow, and it carries a massive, heavy, rectangular block of stratified rock on its back, which it uses for defense.
559	A small, bipedal, lizard-like creature with baggy, yellow skin that it has to constantly pull up like pants. It has a rebellious, punk-like attitude and a small, red crest on its head.
560	A tall, bipedal, lizard-like creature with a punk or gang-member appearance. It has a prominent, red, mohawk-like crest of skin, and it wears its shed, baggy skin around its waist like pants.
561	A bizarre, avian-like creature with a brightly colored, geometric body that resembles a kachina doll or a Nazca Line drawing. It has a green, cactus-like body, two wing-like arms, and a small, round head with a third eye.
562	A ghostly creature that is a shadowy, black spirit possessing an ancient, golden, funerary mask. The mask has a simple, smiling face, and the spirit has a single, glowing red eye.
563	A ghostly creature composed of a large, golden, sarcophagus-like body. Four shadowy, bandage-like arms protrude from it, and a large, menacing, red-eyed face is on the front of the sarcophagus.
564	A prehistoric, turtle-like creature from a fossil. It has a small, blue body protected by a massive, hard, blue-and-black shell. It has powerful front flippers for swimming.
565	A massive, bipedal, sea turtle with a huge, powerful build. It has a dark, rugged shell on its back, incredibly strong front flippers that can crush rock, and a powerful jaw.
566	A prehistoric, bird-like creature from a fossil. It is a small, bipedal, reptilian bird with fluffy, blue-and-yellow plumage and small, underdeveloped wings.
567	A large, brightly colored, prehistoric, avian predator. It has powerful legs for running, large, feathered wings for gliding, and a sharp beak. Its appearance is a mix of reptile and bird features.
568	A small, sentient pile of trash contained within a torn, light-green, plastic garbage bag. Two large, round eyes peer out, and two small, trash-like appendages serve as arms.
569	A colossal, humanoid monster made of compressed garbage. Its body is a lumpy, greenish-brown mass, with one arm ending in a long, tube-like appendage and the other in three finger-like pieces of rebar.
570	A quadrupedal, fox-like creature with dark gray fur. It has a large, bushy, purple-and-gray tuft of fur on its head that covers its eyes, creating an illusion.
571	A slender, bipedal, fox-like creature with long, flowing, magenta-and-gray hair that covers most of its body. It has a vengeful, illusionist's appearance, with sharp claws and a sinister grin.
572	A small, chinchilla-like creature with white-and-gray fur. It has large, round ears, a fluffy tail, and is known for its obsession with cleanliness, using its tail to sweep.
573	An elegant, chinchilla-like creature wrapped in long, flowing, scarf-like boas made of white fur. It has a graceful and refined appearance, with a small, tufted tail.
574	A small, humanoid, "baby" creature with a purple head and a pink, bow-like growth on it. It has a pale, lavender-colored body and a very wide-eyed, psychic expression.
575	A bipedal, humanoid creature with a gothic-lolita fashion sense. It has a purple-and-white body, and its "hair" and "dress" are adorned with multiple, white, ribbon-like bows.
576	A tall, slender, humanoid creature with an elegant, almost cosmic, gothic appearance. It has long, black, flowing "hair" and a black, dress-like body adorned with white, ribbon-like appendages that resemble stars.
577	A small green and blue cell-like creature with a simple body, nucleus-like center, and a basic appearance
578	A bipedal creature composed of two small, distinct bodies with simple faces, encased within a larger sphere of green, gelatinous fluid. Small, stubby limbs protrude from the central mass.
579	A small, green, humanoid creature suspended within a much larger, transparent, gelatinous body. It has two large, floating, detached arms made of the same green gel, ending in three spherical fingers.
580	A small, duckling-like avian creature with light blue plumage. It has a small tuft of feathers on its head and a larger, downy tuft of feathers at its tail, giving it the appearance of wearing a life vest.
581	A large, graceful, swan-like avian creature with a white body. It has a long, curved neck, large, powerful wings, and a distinctive blue, corset-like marking on its chest.
582	A small, sentient creature resembling a single scoop of soft-serve ice cream. Its head is made of white, snow-like ice with small, blue, crystalline eyes and mouth, all resting on a small, brown, icicle-like cone.
583	A creature resembling a larger ice cream cone. Its head is a larger scoop of snow-like ice, and its body is a longer, icicle-like cone. It has two small, floating ice crystals that serve as hands.
584	A creature that resembles a double-scoop ice cream cone. It has two large, sentient heads made of snow-like ice, each with its own face. One head has a straw-like icicle protruding from it. The body is a frozen cone base.
585	A small, quadrupedal, fawn-like creature. Its fur color and the flower on its head change with the seasons: pink in Spring, green in Summer, orange in Autumn, and brown in Winter.
586	A large, majestic, quadrupedal stag. Its most prominent feature is its large antlers, which change dramatically with the seasons: sprouting pink flowers in Spring, covered in lush leaves in Summer, adorned with orange leaves in Autumn, and bare and white like ice in Winter.
587	A small, white, rodent-like creature resembling a flying squirrel. It has large, round, black ears, yellow, cape-like membranes between its arms and legs for gliding, and two yellow cheek pouches for storing electricity.
588	A small, bipedal, beetle-like creature with a round, dark body. Its head is covered by a blue and yellow, horned, knight's-helmet-like shell, giving it a scrappy, confrontational look.
589	A bipedal, insectoid knight fully encased in a spiraled, metallic, silver-and-gold shell that acts as armor. It wields two long, pointed, red-tipped lances for arms and has a red, plume-like crest on its helmet.
590	A small, mushroom-like creature whose cap is designed to perfectly mimic the top half of a Poké Ball, with a red top and white spots. Its lower body is a small, gray, stem-like base with pink, puckered lips.
591	A large, bipedal, mushroom-like creature. It has a large, flat, toadstool cap on its head and two smaller, shield-like mushroom caps on its arms. All three caps are patterned to look like Poké Balls.
592	An aquatic, jellyfish-like creature. The male is light blue with a ruffled collar and a single, crown-like tentacle. The female is pink with a puffy, frilled collar and two long, ribbon-like tentacles.
593	A large, majestic, jellyfish-like creature with a regal presence. The male is blue and resembles a king, with a huge, white, mustache-like growth. The female is pink and resembles a queen, with a heart-shaped mouth and a large, frilly head structure.
594	A flat, fish-like creature with a vertical, heart-shaped body. It is bright pink with large, gentle eyes and has two large, fin-like wings on its back and two smaller, hand-like fins on its front.
595	An extremely small, yellow, fuzzy, arachnid-like creature with four small legs and four large, blue, bulbous eyes. It is so tiny it often latches onto larger creatures to feed on static electricity.
596	A large, tarantula-like creature covered in shaggy, yellow and blue-gray fur. It has four large, jagged horns on its head that store electricity, four blue eyes, and a large, fuzzy abdomen with purple markings.
597	A floating, spherical seed pod made of dark gray metal. Its body is covered entirely in sharp, green, thorn-like spikes, and it has two narrow, green eyes that peer out from the metallic surface.
598	A large, metallic, disc-shaped creature covered in thorny vines. It has a central, armored body that clings to surfaces, and it attacks with three long, powerful, thorny vines that it uses as flails.
599	A creature composed of two small, interlocking, metallic gears. Each gear has a simple face with a single eye (one an 'X', one an 'O') and a small, round mouth. They constantly rotate together.
600	A creature composed of a large, central gear with a face, which is meshed with a smaller, orbiting gear. A third, outer gear with a sharp, blue spike orbits the main one independently.
601	A complex assembly of multiple, interconnected, floating gears. It has a large, central gear with a face, a smaller spiked gear, and is all surrounded by a large, red-cored, circular, spiked ring that rotates independently.
602	A small, white, eel-like creature resembling a single lightning bolt. It has a round, suction-cup-like mouth and a yellow, four-pointed star pattern on its side.
603	A larger, white, lamprey-like creature. It has a long, eel-like body, a round, suction-cup mouth with sharp teeth, and three yellow, diamond-shaped electricity-generating organs on its side.
